name,type,date,dttm,notes
sf,place,8/28/2015,42244,
trouble coffee,food,8/29/2015,42245,
1365 jackson st,home,09/01/2015,42248,
2399a folsom st,home,09/01/2015,42248,
hood internet,concert,09-01-2015,42248,
interana,job,09/01/2015,42248,
garcia tamjidi,job,09/01/2015,42248,
stable cafe,food,10/01/2015,42278,
rac,concert,10/30/2015,42307,
passion pit,concert,10/30/2015,42307,
tartine bread,event,11/1/2015,42309,
cherub,concert,11-14-2015,42322,fox
hippie sabatoge,concert,11-14-2015,42322,fox
haus dinner,food,12/13/2015,42351,
belize,place,1/1/2016,42370,
airbnb,job,1/12/2016,42381,
mission chinese,food,02/14/2016,42414,
tahoe,place,3/19/2016,42448,grinnell + lindsay
byobw,event,3/27/2016,42456,
chvrches,concert,04-18-2016,42478,fox
minneapolis,place,5/1/2016,42491,
general assembly,job,5/17/2016,42507,
bay to breakers,event,5/18/2016,42508,
go cars,event,6/5/2016,42526,
santa cruz,place,7/15/2016,42566,
basil,item,7/26/2016,42577,
berkeley,place,8/1/2016,42583,
santa cruz,place,8/13/2016,42595,
munich,place,9/1/2016,42614,
barcelona,place,9/10/2016,42623,
oktoberfest,event,9/19/2016,42632,
lourdes,place,9/20/2016,42633,
arglès-gazost,place,9/21/2016,42634,
bagnères-de-Luchon,place,9/22/2016,42635,
sofi tukker,concert,10/15/2016,42658,treasure island
pun off,event,12/9/2016,42713,
boulder,place,12/30/2016,42734,ny w/ m+a
denver,place,12/31/2016,42735,ny w/ m+a
basketball,event,1/7/2017,42742,kings vs okc
sacramento,place,1/7/2017,42742,
1299 bush st,home,1/20/2017,42755,
1415 franklin st,home,1/20/2017,42755,
mr holmes,food,2/23/2017,42789,
soundbox,concert,2/27/2017,42793,
vallis alps,concert,3/7/2017,42801,
millennium,food,3/29/2017,42823,
sebastopol,place,3/31/2017,42825,bday
shed,food,4/2/2017,42827,
byobw,event,4/16/2017,42841,
49 mile drive,event,4/30/2017,42855,
supper club,food,4/30/2017,42855,
london,place,5/1/2017,42856,
dishoom,food,5/6/2017,42861,
london cloth co,event,5/14/2017,42869,
look mum no hands,food,5/14/2017,42869,
san antonio,place,5/26/2017,42881,
austin,place,5/26/2017,42881,
miller's rest,drinks,6/2/2017,42888,
design week,event,06/14/2017,42900,
supper club,food,6/18/2017,42904,
jane,food,7/9/2017,42925,
bar agricole,food,7/14/2017,42930,
cheese plus,food,7/15/2017,42931,
los angeles,place,8/1/2017,42948,
al's place,food,8/11/2017,42958,
stockholm,place,9/1/2017,42979,
helsinki,place,9/2/2017,42980,
talin,place,9/3/2017,42981,
farang,food,9/15/2017,42993,
basik cafe,food,9/19/2017,42997,
glass animals,concert,9/22/2017,43000,greek
cheese board,food,9/22/2017,43000,
neighbor bakehouse,food,9/23/2017,43001,
rapt,job,10/01/2017,43009,unsure
fleet week,event,10/5/2017,43013,
supper club,food,10/14/2017,43022,
magic show,event,10/21/2017,43029,
odessa,concert,10/28/2017,43036,greek
tv,item,11/21/2017,43060,
nashville,place,12/1/2017,43070,
cookeville,place,12/1/2017,43070,
chattanooga,place,12/1/2017,43070,
iron brewer,event,12/10/2017,43079,
vail,place,1/1/2018,43101,
el techo,food,1/31/2018,43131,
supper club,food,2/24/2018,43155,
nopa food tour,event,3/17/2018,43176,
greens,food,3/30/2018,43189,
chez panisse,food,3/31/2018,43190,
tahoe,place,4/1/2018,43191,m+a cabin
new york,place,4/1/2018,43191,
egg shop,food,4/16/2018,43206,
paris,place,5/1/2018,43221,
fontainebleau,place,5/2/2018,43222,
supper club,food,5/5/2018,43225,
lai'tcha,food,5/16/2018,43236,
yam'Tcha,food,5/16/2018,43236,
maui,place,8/1/2018,43313,
sofi tukker,concert,08-11-2018,43323,outside lands
lizzo,concert,08-11-2018,43323,outside lands
angelini osteria,food,08/27/2018,43339,
flour + water,food,8/29/2018,43341,
pineapple tour,event,9/1/2018,43344,
zhu,concert,09-08-2018,43351,
red bull hill climb,event,09-08-2018,43351,
sebastopol,place,9/15/2018,43358,dyl wed
free solo,event,10/13/2018,43386,
portland,place,10/31/2018,43404,m+a
piroshki dinner,food,11-04-2018,43408,
pun off,event,11/10/2018,43414,
gen-gen room,food,11/23/2018,43427,
illenium,concert,11-24-2018,43428,billy g
william black,concert,11-24-2018,43428,billy g
del popolo,food,1/5/2019,43470,
sacramento,place,1/12/2019,43477,
pun off,event,1/12/2019,43477,
hokkaido,place,2/1/2019,43497,
cocktail making,drinks,2/1/2019,43497,
tokyo,place,2/2/2019,43498,
exploratorium,event,2/7/2019,43503,science of cocktails
okonomiyaki,food,2/20/2019,43516,
tsukiji fish market,event,2/21/2019,43517,
pun off,event,3/8/2019,43532,
anna of the north,concert,4/26/2019,43581,rickshaw stop
samin nosrat,event,04/29/2019,43584,
new york,place,8/16/2019,43693,
octavia,food,8/28/2019,43705,
cincinnati,place,8/30/2019,43707,
columbus,place,8/31/2019,43708,
mendocino,place,9/7/2019,43715,
demi moore,event,09/27/2019,43735,
sf boat,event,10/5/2019,43743,
santa rosa,place,10/19/2019,43757,race
fleet week,event,10/20/2019,43758,
sebastopol,place,10/30/2019,43768,"m+a, bday"
san diego,place,11/25/2019,43794,
3559 jackson st,home,01/20/2020,43850,
sorrel,food,2/14/2020,43875,
che fico,food,3/31/2020,43921,
ungrafted,drinks,4/18/2020,43939,
pun off,event,5/7/2020,43958,
virtual tiki,drinks,6/14/2020,43996,
car,item,07-26-2020,44038,
palm springs,place,8/1/2020,44044,
joshua tree,place,8/1/2020,44044,
glass animals,concert,10/15/2020,44119,home
seattle,place,11/7/2020,44142,
portland,place,11/11/2020,44146,
bed,item,11/28/2020,44163,
cookeville,place,12/1/2020,44166,
ungrafted,drinks,12/13/2020,44178,
ungrafted,drinks,12/25/2020,44190,
covid vax,item,3/25/2021,44280,
covid vax,item,4/7/2021,44293,
pearl,food,4/9/2021,44295,
aziza,food,4/19/2021,44305,
gardyn,item,4/20/2021,44306,
ungrafted,drinks,5/9/2021,44325,
napa,place,5/30/2021,44346,
wine tour,drinks,5/30/2021,44346,
tahoe,place,7/4/2021,44381,
cincinnati,place,7/15/2021,44392,
dayton,place,7/16/2021,44393,
cleveland ,place,7/18/2021,44395,
kitchen istanbul,food,7/23/2021,44400,
peloton,item,7/27/2021,44404,
seattle,place,8/29/2021,44437,
hot tub boat,event,8/30/2021,44438,
canlis,food,8/31/2021,44439,